Term,Start,End,YB,Coalition-Party/Party,Votes-%,Majority-%
7,1986,1990,Abdul Daim Zainuddin,BN-UMNO,20712-74.83%-13745-49.66%
8,1990,1995,Abdul Daim Zainuddin,BN-UMNO,25749-72.22%,15843-44.44%
9,1995,1999,Abdul Daim Zainuddin,BN-UMNO,31125-77.72%,22201-55.44%
10,1999,2004,Abdul Daim Zainuddin,BN-UMNO,30285-67.01%,15376-34.02%
11,2004,2008,Zainuddin Maidin,BN-UMNO,29607-67.64%,15445-35.28%
12,2008,2013,Rashid Din,PKR,25541-53.23%,3098-6.46%
13,2013,2018,Ismail Daut,BN-UMNO,38538-52.38%,4122-5.66%
14,2018,2022,Nor Azrina Surip,PH-PKR,30902-43.31%,10072-14.12%
15,2022,,Mohd Nazri Abu Hassan,PN-BERSATU,52572-51.27%,21019-20.50%
